timestamp,price_yes,price_no,volume
1735671600,0.25,0.75,0.0
1735675200,0.06,0.94,58.629146
1735678800,0.085,0.915,0.0
1735682400,0.09,0.91,0.0
1735686000,0.085,0.915,9.995267
1735689600,0.085,0.915,1.01
1735693200,0.085,0.915,19.03
1735696800,0.085,0.915,0.0
1735700400,0.085,0.915,3.260868
1735704000,0.085,0.915,2.5
1735707600,0.085,0.915,32.589562
1735711200,0.085,0.915,10.869562
1735714800,0.085,0.915,21.97111
1735718400,0.085,0.915,0.0
1735722000,0.085,0.915,543.47825
1735725600,0.085,0.915,13.706512
1735729200,0.085,0.915,0.0
1735732800,0.085,0.915,0.0
1735736400,0.085,0.915,95.555554
1735740000,0.085,0.915,0.0
1735743600,0.085,0.915,349.79897800000003
1735747200,0.08,0.92,0.0
1735750800,0.075,0.925,21.5
1735754400,0.08,0.92,1.075257
1735758000,0.08,0.92,0.0
1735761600,0.08,0.92,0.0
1735765200,0.08,0.92,45.0
1735768800,0.08,0.92,0.0
1735772400,0.08,0.92,0.0
1735776000,0.08,0.92,0.0
1735779600,0.08,0.92,0.0
1735783200,0.08,0.92,0.0
1735786800,0.075,0.925,0.0
1735790400,0.075,0.925,0.0
1735794000,0.075,0.925,2.150514
1735797600,0.075,0.925,1000.0
1735801200,0.085,0.915,0.0
1735804800,0.08,0.92,0.0
1735808400,0.075,0.925,0.0
1735812000,0.08,0.92,0.0
1735815600,0.075,0.925,0.0
1735819200,0.075,0.925,1.6129
1735822800,0.075,0.925,0.0
1735826400,0.075,0.925,0.0
1735830000,0.08,0.92,48.763428
1735833600,0.075,0.925,3.57
1735837200,0.075,0.925,0.0
1735840800,0.075,0.925,0.0
1735844400,0.075,0.925,0.0
1735848000,0.08,0.92,0.0
1735851600,0.08,0.92,0.0
1735855200,0.08,0.92,0.0
1735858800,0.075,0.925,0.0
1735862400,0.08,0.92,0.0
1735866000,0.075,0.925,0.0
1735869600,0.08,0.92,0.0
1735873200,0.075,0.925,0.0
1735876800,0.075,0.925,0.0
1735880400,0.075,0.925,0.0
1735884000,0.08,0.92,0.0
1735887600,0.075,0.925,0.0
1735891200,0.08,0.92,57.61
1735894800,0.075,0.925,40.0
1735898400,0.08,0.92,11.11111
1735902000,0.075,0.925,1248.76
1735905600,0.085,0.915,0.0
1735909200,0.09,0.91,11.11111
1735912800,0.085,0.915,0.0
1735916400,0.09,0.91,0.0
1735920000,0.085,0.915,343.5
1735923600,0.09,0.91,0.0
1735927200,0.085,0.915,60.869562
1735930800,0.085,0.915,0.0
1735934400,0.085,0.915,0.0
1735938000,0.085,0.915,0.0
1735941600,0.085,0.915,2.173912
1735945200,0.085,0.915,0.0
1735948800,0.085,0.915,0.0
1735952400,0.085,0.915,137.934775
1735956000,0.085,0.915,0.0
1735959600,0.085,0.915,0.0
1735963200,0.085,0.915,100.0
1735966800,0.085,0.915,0.0
1735970400,0.085,0.915,0.0
1735974000,0.085,0.915,0.0
1735977600,0.085,0.915,200.0
1735981200,0.085,0.915,0.0
1735984800,0.085,0.915,0.0
1735988400,0.085,0.915,1509.0
1735992000,0.095,0.905,164.0
1735995600,0.095,0.905,25.0
1735999200,0.095,0.905,0.0
1736002800,0.095,0.905,20.0
1736006400,0.095,0.905,70.0
1736010000,0.095,0.905,22.5
1736013600,0.095,0.905,7.6923
1736017200,0.095,0.905,0.0
1736020800,0.095,0.905,0.0
1736024400,0.095,0.905,0.0
1736028000,0.095,0.905,0.0
1736031600,0.095,0.905,0.0
1736035200,0.095,0.905,0.0
1736038800,0.095,0.905,0.0
1736042400,0.095,0.905,0.0
1736046000,0.095,0.905,0.0
1736049600,0.095,0.905,0.0
1736053200,0.095,0.905,0.0
1736056800,0.095,0.905,0.0
1736060400,0.095,0.905,0.0
1736064000,0.095,0.905,0.0
1736067600,0.095,0.905,0.0
1736071200,0.095,0.905,0.0
1736074800,0.095,0.905,0.0
1736078400,0.095,0.905,0.0
1736082000,0.095,0.905,0.0
1736085600,0.095,0.905,0.0
1736089200,0.095,0.905,0.0
1736092800,0.095,0.905,0.0
1736096400,0.095,0.905,0.0
1736100000,0.095,0.905,0.0
1736103600,0.095,0.905,0.0
1736107200,0.095,0.905,11.1
1736110800,0.095,0.905,0.0
1736114400,0.095,0.905,0.0
1736118000,0.095,0.905,0.0
1736121600,0.095,0.905,0.0
1736125200,0.095,0.905,0.0
1736128800,0.095,0.905,0.0
1736132400,0.095,0.905,1.1978
1736136000,0.095,0.905,659.7967
1736139600,0.095,0.905,0.0
1736143200,0.095,0.905,0.0
1736146800,0.095,0.905,1.1978
1736150400,0.095,0.905,0.0
1736154000,0.095,0.905,1.516477
1736157600,0.095,0.905,5.0
1736161200,0.095,0.905,0.0
1736164800,0.095,0.905,0.0
1736168400,0.095,0.905,0.0
1736172000,0.095,0.905,0.0
1736175600,0.095,0.905,0.0
1736179200,0.095,0.905,10.989
1736182800,0.095,0.905,0.0
1736186400,0.095,0.905,0.0
1736190000,0.095,0.905,0.0
1736193600,0.095,0.905,5.4945
1736197200,0.095,0.905,0.0
1736200800,0.095,0.905,0.0
1736204400,0.095,0.905,0.0
1736208000,0.095,0.905,0.0
1736211600,0.095,0.905,0.0
1736215200,0.095,0.905,11.0
1736218800,0.095,0.905,0.0
1736222400,0.095,0.905,0.0
1736226000,0.095,0.905,0.0
1736229600,0.095,0.905,0.0
1736233200,0.095,0.905,1.5934
1736236800,0.095,0.905,0.0
1736240400,0.095,0.905,0.0
1736244000,0.095,0.905,1.945044
1736247600,0.095,0.905,0.0
1736251200,0.095,0.905,0.0
1736254800,0.095,0.905,0.0
1736258400,0.095,0.905,0.0
1736262000,0.095,0.905,0.0
1736265600,0.095,0.905,0.0
1736269200,0.095,0.905,0.0
1736272800,0.095,0.905,5.4945
1736276400,0.095,0.905,0.0
1736280000,0.095,0.905,0.0
1736283600,0.095,0.905,0.0
1736287200,0.095,0.905,0.0
1736290800,0.095,0.905,0.0
1736294400,0.095,0.905,0.0
1736298000,0.095,0.905,55.43
1736301600,0.095,0.905,0.0
1736305200,0.095,0.905,0.0
1736308800,0.095,0.905,0.0
1736312400,0.095,0.905,48.0
1736316000,0.095,0.905,0.0
1736319600,0.095,0.905,0.0
1736323200,0.095,0.905,0.0
1736326800,0.095,0.905,0.0
1736330400,0.095,0.905,0.0
1736334000,0.095,0.905,0.0
1736337600,0.095,0.905,0.0
1736341200,0.095,0.905,0.0
1736344800,0.095,0.905,0.0
1736348400,0.095,0.905,0.0
1736352000,0.095,0.905,0.0
1736355600,0.095,0.905,0.0
1736359200,0.095,0.905,0.0
1736362800,0.095,0.905,0.0
1736366400,0.095,0.905,0.0
1736370000,0.095,0.905,0.0
1736373600,0.095,0.905,0.0
1736377200,0.095,0.905,0.0
1736380800,0.095,0.905,0.0
1736384400,0.095,0.905,0.0
1736388000,0.095,0.905,27.472522
1736391600,0.095,0.905,0.0
1736395200,0.095,0.905,0.0
1736398800,0.095,0.905,0.0
1736402400,0.095,0.905,0.0
1736406000,0.095,0.905,0.0
1736409600,0.095,0.905,0.0
1736413200,0.095,0.905,0.0
1736416800,0.095,0.905,0.0
1736420400,0.095,0.905,0.0
1736424000,0.095,0.905,0.0
1736427600,0.095,0.905,32.0
1736431200,0.095,0.905,0.0
1736434800,0.095,0.905,0.0
1736438400,0.095,0.905,0.0
1736442000,0.095,0.905,0.0
1736445600,0.095,0.905,1.61
1736449200,0.095,0.905,219.780211
1736452800,0.095,0.905,0.0
1736456400,0.095,0.905,0.0
1736460000,0.095,0.905,0.0
1736463600,0.095,0.905,0.0
1736467200,0.095,0.905,1.0989
1736470800,0.095,0.905,0.0
1736474400,0.095,0.905,0.0
1736478000,0.095,0.905,0.0
1736481600,0.095,0.905,0.0
1736485200,0.095,0.905,0.0
1736488800,0.095,0.905,0.0
1736492400,0.095,0.905,0.0
1736496000,0.095,0.905,0.0
1736499600,0.095,0.905,0.0
1736503200,0.095,0.905,0.0
1736506800,0.095,0.905,0.0
1736510400,0.095,0.905,0.0
1736514000,0.095,0.905,0.0
1736517600,0.095,0.905,0.0
1736521200,0.095,0.905,0.0
1736524800,0.095,0.905,0.0
1736528400,0.095,0.905,0.0
1736532000,0.095,0.905,0.0
1736535600,0.095,0.905,0.0
1736539200,0.095,0.905,0.0
1736542800,0.095,0.905,0.0
1736546400,0.095,0.905,0.0
1736550000,0.095,0.905,0.0
1736553600,0.095,0.905,0.0
1736557200,0.095,0.905,0.0
1736560800,0.095,0.905,0.0
1736564400,0.095,0.905,0.0
1736568000,0.095,0.905,0.0
1736571600,0.095,0.905,0.0
1736575200,0.095,0.905,0.0
1736578800,0.095,0.905,0.0
