timestamp,price_yes,price_no,volume
1758225600,0.55,0.45,0.0
1758229200,0.545,0.455,552.329866
1758232800,0.63,0.37,341.838736
1758236400,0.585,0.415,0.0
1758240000,0.68,0.32,61.044635
1758243600,0.53,0.47,55.898387
1758247200,0.73,0.27,219.550918
1758250800,0.49,0.51,38.018525
1758254400,0.665,0.335,5.490195
1758258000,0.72,0.28,141.80392
1758261600,0.56,0.44,118.134383
1758265200,0.535,0.465,407.124298
1758268800,0.535,0.465,51.071427
1758272400,0.535,0.465,3.826528
1758276000,0.535,0.465,256.367341
1758279600,0.535,0.465,179.72448299999996
1758283200,0.525,0.475,201.72
1758286800,0.52,0.48,30.188669
1758290400,0.52,0.48,71.32530799999999
1758294000,0.525,0.475,66.908157
1758297600,0.525,0.475,0.0
1758301200,0.535,0.465,0.0
1758304800,0.535,0.465,295.537036
1758308400,0.535,0.465,0.0
1758312000,0.535,0.465,300.0
1758315600,0.535,0.465,10.0
1758319200,0.535,0.465,351.387313
1758322800,0.55,0.45,40.0
1758326400,0.55,0.45,17.142854
1758330000,0.55,0.45,930.041128
1758333600,0.595,0.405,3.57
1758337200,0.595,0.405,0.0
1758340800,0.585,0.415,77.36
1758344400,0.575,0.425,0.0
1758348000,0.57,0.43,72.727271
1758351600,0.57,0.43,222.65
1758355200,0.6,0.4,9.836063
1758358800,0.6,0.4,49.96
1758362400,0.605,0.395,241.178094
1758366000,0.585,0.415,0.0
1758369600,0.58,0.42,0.0
1758373200,0.58,0.42,5.715409
1758376800,0.58,0.42,0.0
1758380400,0.58,0.42,0.0
1758384000,0.58,0.42,0.0
1758387600,0.58,0.42,0.0
1758391200,0.585,0.415,5.0
1758394800,0.575,0.425,2.32558
1758398400,0.58,0.42,0.0
1758402000,0.58,0.42,0.0
1758405600,0.58,0.42,3.39
1758409200,0.58,0.42,0.0
1758412800,0.58,0.42,0.0
1758416400,0.58,0.42,20.4
1758420000,0.58,0.42,0.0
1758423600,0.58,0.42,0.0
1758427200,0.58,0.42,0.0
1758430800,0.58,0.42,16.944575
1758434400,0.58,0.42,0.0
1758438000,0.575,0.425,0.0
1758441600,0.575,0.425,100.0
1758445200,0.575,0.425,0.0
1758448800,0.575,0.425,0.0
1758452400,0.575,0.425,0.0
1758456000,0.575,0.425,0.0
1758459600,0.575,0.425,29.8
1758463200,0.575,0.425,34.482757
1758466800,0.575,0.425,5.255812
1758470400,0.575,0.425,10.0
1758474000,0.575,0.425,0.0
1758477600,0.575,0.425,13.35204
1758481200,0.575,0.425,0.0
1758484800,0.575,0.425,0.0
1758488400,0.575,0.425,11.627905
1758492000,0.575,0.425,0.0
1758495600,0.575,0.425,293.362221
1758499200,0.565,0.435,10.869564
1758502800,0.555,0.445,8.771928
1758506400,0.555,0.445,0.0
1758510000,0.555,0.445,0.0
1758513600,0.555,0.445,157.719295
1758517200,0.56,0.44,100.0
1758520800,0.54,0.46,606.6901359999999
