timestamp,price_yes,price_no,volume
1765839600,0.145,0.855,5696.418112000001
1765843200,0.105,0.895,298.467982
1765846800,0.105,0.895,199.99888
1765850400,0.095,0.905,10416.79
1765854000,0.085,0.915,4551.56
1765857600,0.055,0.945,4764.013031
1765861200,0.052,0.948,1091.03
1765864800,0.061,0.939,989.999031
1765868400,0.066,0.934,91.357515
1765872000,0.065,0.935,3.205125
1765875600,0.065,0.935,2834.75
1765879200,0.074,0.926,835.564606
1765882800,0.078,0.922,130.936585
1765886400,0.078,0.922,490.369544
1765890000,0.086,0.914,1407.96
1765893600,0.075,0.925,450.775861
1765897200,0.072,0.928,191.177975
1765900800,0.069,0.931,4212.43125
1765904400,0.06,0.94,1294.305969
1765908000,0.06,0.94,130.833513
1765911600,0.059,0.941,12495.121075
1765915200,0.05,0.95,7123.097904999999
1765918800,0.049,0.951,9830.723943
1765922400,0.042,0.958,53.21373
1765926000,0.042,0.958,64.418603
1765929600,0.042,0.958,105.213756
1765933200,0.042,0.958,5023.64583
1765936800,0.04,0.96,10781.468055999998
1765940400,0.046,0.954,996.207544
1765944000,0.052,0.948,116.842102
1765947600,0.051,0.949,12.638944
1765951200,0.051,0.949,140.35
1765954800,0.046,0.954,4466.637806
1765958400,0.044,0.956,97.915502
1765962000,0.041,0.959,603.495776
1765965600,0.041,0.959,250.424995
1765969200,0.04,0.96,130.616143
1765972800,0.04,0.96,0.0
1765976400,0.04,0.96,199.450534
1765980000,0.036,0.964,856.806812
1765983600,0.035,0.965,1221.707267
1765987200,0.035,0.965,439.300562
1765990800,0.034,0.966,20.0
1765994400,0.034,0.966,218.674572
1765998000,0.034,0.966,100.0
1766001600,0.034,0.966,364.617776
1766005200,0.034,0.966,161.853875
1766008800,0.034,0.966,109.325007
1766012400,0.034,0.966,128.0
1766016000,0.034,0.966,621.247614
1766019600,0.036,0.964,385.714284
1766023200,0.034,0.966,0.0
1766026800,0.034,0.966,7816.192366
1766030400,0.039,0.961,415.171861
1766034000,0.037,0.963,90.129514
1766037600,0.037,0.963,483.572514
1766041200,0.036,0.964,4100.0
1766044800,0.036,0.964,300.44
1766048400,0.036,0.964,7.2476
1766052000,0.036,0.964,698.1449980000001
1766055600,0.036,0.964,996.534314
1766059200,0.038,0.962,48.899215
1766062800,0.038,0.962,205.6
1766066400,0.038,0.962,1389.5958960000005
1766070000,0.036,0.964,692.3451309999999
1766073600,0.036,0.964,22.528496
1766077200,0.036,0.964,156.47
1766080800,0.036,0.964,0.0
1766084400,0.036,0.964,488.74
1766088000,0.036,0.964,100.0
1766091600,0.036,0.964,1.037333
1766095200,0.036,0.964,5299.526860999999
1766098800,0.036,0.964,9105.889716
1766102400,0.028,0.972,328.5
1766106000,0.022,0.978,0.0
1766109600,0.022,0.978,245.61
1766113200,0.022,0.978,0.0
1766116800,0.022,0.978,0.0
1766120400,0.022,0.978,1.06
1766124000,0.022,0.978,0.0
1766127600,0.022,0.978,0.0
1766131200,0.022,0.978,0.0
1766134800,0.022,0.978,0.0
1766138400,0.022,0.978,0.0
1766142000,0.022,0.978,83.42
1766145600,0.022,0.978,0.0
1766149200,0.022,0.978,5.0
1766152800,0.022,0.978,485.0
1766156400,0.014,0.986,874.0
1766160000,0.014,0.986,0.0
1766163600,0.014,0.986,392.17
1766167200,0.013,0.987,160.242913
1766170800,0.014,0.986,0.0
1766174400,0.014,0.986,0.0
1766178000,0.014,0.986,760.0
1766181600,0.014,0.986,133.333332
1766185200,0.015,0.985,100.0
1766188800,0.014,0.986,25.0
1766192400,0.014,0.986,1.03
1766196000,0.014,0.986,0.0
1766199600,0.014,0.986,221.68
1766203200,0.014,0.986,0.0
1766206800,0.014,0.986,280.0
1766210400,0.014,0.986,200.0
1766214000,0.014,0.986,0.0
1766217600,0.015,0.985,100.0
1766221200,0.014,0.986,0.0
1766224800,0.014,0.986,405.0
1766228400,0.015,0.985,3762.8
1766232000,0.012,0.988,0.0
1766235600,0.012,0.988,0.0
1766239200,0.012,0.988,176.9
1766242800,0.014,0.986,0.0
1766246400,0.014,0.986,0.0
1766250000,0.014,0.986,0.0
1766253600,0.014,0.986,0.0
1766257200,0.014,0.986,42.67
1766260800,0.014,0.986,0.0
1766264400,0.014,0.986,2.58
1766268000,0.014,0.986,0.0
1766271600,0.014,0.986,2.103153
1766275200,0.014,0.986,771.996075
1766278800,0.012,0.988,0.0
1766282400,0.012,0.988,96.02
1766286000,0.012,0.988,0.0
1766289600,0.012,0.988,0.0
1766293200,0.012,0.988,0.0
1766296800,0.012,0.988,0.0
1766300400,0.012,0.988,0.0
1766304000,0.012,0.988,0.0
1766307600,0.012,0.988,2268.91
1766311200,0.008,0.992,1386.0
1766314800,0.009,0.991,1915.41
1766318400,0.008,0.992,3862.66
1766322000,0.01,0.99,3724.0
1766325600,0.01,0.99,4008.08
1766329200,0.008,0.992,5136.07
1766332800,0.01,0.99,1975.29
1766336400,0.008,0.992,3920.39
1766340000,0.008,0.992,2061.19
1766343600,0.007,0.993,2355.857141
1766347200,0.008,0.992,1233.05
1766350800,0.006,0.994,2127.98
1766354400,0.006,0.994,3287.6199999999994
1766358000,0.006,0.994,1729.57875
1766361600,0.007,0.993,1800.0
1766365200,0.006,0.994,1650.0
1766368800,0.006,0.994,5358.660000000001
1766372400,0.008,0.992,6980.0
1766376000,0.008,0.992,1836.0
1766379600,0.008,0.992,5604.95
1766383200,0.006,0.994,6516.0
1766386800,0.006,0.994,3683.0
1766390400,0.008,0.992,362.0
1766394000,0.008,0.992,1251.03
1766397600,0.008,0.992,1211.09111
1766401200,0.008,0.992,0.0
1766404800,0.008,0.992,5.0
1766408400,0.008,0.992,0.0
1766412000,0.008,0.992,115.92
1766415600,0.008,0.992,2750.56
1766419200,0.01,0.99,566.0
1766422800,0.01,0.99,477.0
1766426400,0.01,0.99,1273.285333
1766430000,0.008,0.992,1873.99
1766433600,0.009,0.991,3790.64
1766437200,0.006,0.994,1246.0
1766440800,0.006,0.994,118.0
1766444400,0.006,0.994,0.0
1766448000,0.006,0.994,14.42
1766451600,0.006,0.994,0.0
1766455200,0.006,0.994,1.52
1766458800,0.006,0.994,189.517586
1766462400,0.006,0.994,497.563928
1766466000,0.006,0.994,1113.1899999999998
1766469600,0.005,0.995,0.0
1766473200,0.005,0.995,473.32
1766476800,0.002,0.998,1221.16
1766480400,0.004,0.996,0.0
1766484000,0.004,0.996,616.87
1766487600,0.006,0.994,802.8844
1766491200,0.008,0.992,21.87
1766494800,0.008,0.992,0.0
1766498400,0.008,0.992,130.0
1766502000,0.008,0.992,0.0
1766505600,0.008,0.992,0.0
1766509200,0.008,0.992,0.0
1766512800,0.008,0.992,0.0
1766516400,0.008,0.992,0.0
1766520000,0.008,0.992,0.0
1766523600,0.008,0.992,0.0
1766527200,0.008,0.992,0.0
1766530800,0.008,0.992,0.0
1766534400,0.008,0.992,6.91
1766538000,0.008,0.992,0.0
1766541600,0.008,0.992,0.0
1766545200,0.008,0.992,0.0
1766548800,0.008,0.992,2.08
1766552400,0.008,0.992,0.0
1766556000,0.008,0.992,70.0
1766559600,0.007,0.993,0.0
1766563200,0.007,0.993,0.0
1766566800,0.007,0.993,0.0
1766570400,0.007,0.993,0.0
1766574000,0.008,0.992,0.0
1766577600,0.008,0.992,0.0
1766581200,0.008,0.992,0.0
1766584800,0.008,0.992,0.0
1766588400,0.008,0.992,0.0
1766592000,0.008,0.992,0.0
1766595600,0.008,0.992,16.12
1766599200,0.008,0.992,0.0
1766602800,0.008,0.992,0.12
1766606400,0.008,0.992,2.88
1766610000,0.008,0.992,0.0
1766613600,0.008,0.992,0.0
1766617200,0.008,0.992,0.0
1766620800,0.008,0.992,0.0
1766624400,0.008,0.992,0.0
1766628000,0.008,0.992,0.0
1766631600,0.008,0.992,0.0
1766635200,0.008,0.992,0.0
1766638800,0.008,0.992,135.0
1766642400,0.008,0.992,0.0
1766646000,0.008,0.992,0.0
1766649600,0.008,0.992,0.0
1766653200,0.008,0.992,0.0
1766656800,0.008,0.992,0.0
1766660400,0.008,0.992,0.0
1766664000,0.008,0.992,13.47
1766667600,0.008,0.992,0.0
1766671200,0.008,0.992,0.0
1766674800,0.008,0.992,0.0
1766678400,0.008,0.992,90.0
1766682000,0.008,0.992,0.0
1766685600,0.008,0.992,0.0
1766689200,0.008,0.992,0.0
1766692800,0.008,0.992,0.0
1766696400,0.008,0.992,0.0
1766700000,0.008,0.992,255.04
1766703600,0.008,0.992,10.0
1766707200,0.008,0.992,0.0
1766710800,0.008,0.992,1912.054413
1766714400,0.004,0.996,0.0
1766718000,0.004,0.996,0.0
1766721600,0.004,0.996,0.0
1766725200,0.004,0.996,0.0
1766728800,0.004,0.996,229.51
1766732400,0.006,0.994,0.0
1766736000,0.006,0.994,0.0
1766739600,0.006,0.994,468.46
1766743200,0.006,0.994,0.0
1766746800,0.006,0.994,0.0
1766750400,0.006,0.994,0.0
1766754000,0.006,0.994,0.0
1766757600,0.006,0.994,0.0
1766761200,0.006,0.994,0.0
1766764800,0.006,0.994,0.0
1766768400,0.006,0.994,0.0
1766772000,0.006,0.994,0.0
1766775600,0.006,0.994,0.0
1766779200,0.006,0.994,2.87
1766782800,0.006,0.994,0.0
1766786400,0.006,0.994,0.0
1766790000,0.006,0.994,0.0
1766793600,0.007,0.993,0.0
1766797200,0.007,0.993,450.130439
1766800800,0.006,0.994,0.0
1766804400,0.006,0.994,122.39
1766808000,0.006,0.994,157.0
1766811600,0.006,0.994,0.0
1766815200,0.006,0.994,0.0
1766818800,0.006,0.994,0.0
1766822400,0.006,0.994,0.0
1766826000,0.006,0.994,25.0
1766829600,0.006,0.994,0.0
1766833200,0.006,0.994,0.0
1766836800,0.006,0.994,612.86
1766840400,0.006,0.994,0.0
1766844000,0.006,0.994,0.0
1766847600,0.006,0.994,0.0
1766851200,0.006,0.994,0.0
1766854800,0.006,0.994,0.0
1766858400,0.006,0.994,0.0
1766862000,0.006,0.994,0.0
1766865600,0.006,0.994,0.0
1766869200,0.006,0.994,0.0
1766872800,0.006,0.994,144.285713
1766876400,0.006,0.994,0.0
1766880000,0.006,0.994,0.0
1766883600,0.006,0.994,0.0
1766887200,0.006,0.994,0.0
1766890800,0.006,0.994,0.0
1766894400,0.006,0.994,0.0
1766898000,0.006,0.994,5449.729127
1766901600,0.002,0.998,0.0
1766905200,0.002,0.998,0.0
1766908800,0.002,0.998,0.0
1766912400,0.002,0.998,0.0
1766916000,0.002,0.998,0.0
1766919600,0.002,0.998,220.440438
1766923200,0.004,0.996,0.0
1766926800,0.004,0.996,0.0
1766930400,0.004,0.996,1.0
1766934000,0.004,0.996,0.0
1766937600,0.004,0.996,0.0
1766941200,0.004,0.996,0.0
1766944800,0.004,0.996,165.56
1766948400,0.004,0.996,0.0
1766952000,0.004,0.996,0.0
1766955600,0.004,0.996,26.31
1766959200,0.004,0.996,0.0
1766962800,0.004,0.996,0.0
1766966400,0.004,0.996,0.0
1766970000,0.004,0.996,0.0
1766973600,0.004,0.996,0.0
1766977200,0.004,0.996,0.0
1766980800,0.004,0.996,0.0
1766984400,0.004,0.996,21.73
1766988000,0.004,0.996,0.0
1766991600,0.004,0.996,0.0
1766995200,0.004,0.996,0.0
1766998800,0.004,0.996,3307.66
1767002400,0.006,0.994,0.0
1767006000,0.006,0.994,1.004
1767009600,0.006,0.994,0.0
1767013200,0.006,0.994,0.0
1767016800,0.006,0.994,0.0
1767020400,0.006,0.994,136.1
1767024000,0.004,0.996,0.0
1767027600,0.004,0.996,0.0
1767031200,0.003,0.997,10000.0
1767034800,0.006,0.994,0.0
1767038400,0.006,0.994,0.0
1767042000,0.006,0.994,12.048
1767045600,0.006,0.994,0.0
1767049200,0.006,0.994,3.24
1767052800,0.006,0.994,1.004
1767056400,0.006,0.994,0.0
1767060000,0.006,0.994,138.16
1767063600,0.006,0.994,170.02999999999997
1767067200,0.002,0.998,0.0
1767070800,0.002,0.998,0.0
1767074400,0.002,0.998,0.0
1767078000,0.003,0.997,0.0
1767081600,0.003,0.997,317.213
1767085200,0.006,0.994,1.003
1767088800,0.006,0.994,0.0
1767092400,0.005,0.995,0.0
1767096000,0.005,0.995,0.0
1767099600,0.003,0.997,0.0
1767103200,0.003,0.997,1612.6989450000003
1767106800,0.006,0.994,52.370000000000005
1767110400,0.002,0.998,2.001001
1767114000,0.002,0.998,0.0
1767117600,0.002,0.998,0.0
1767121200,0.002,0.998,0.0
1767124800,0.002,0.998,27.097095
1767128400,0.002,0.998,0.0
1767132000,0.002,0.998,0.0
1767135600,0.002,0.998,121.07
1767139200,0.002,0.998,8.86
1767142800,0.002,0.998,0.0
1767146400,0.002,0.998,0.0
1767150000,0.002,0.998,0.0
1767153600,0.002,0.998,14.11
1767157200,0.002,0.998,1.001001
1767160800,0.003,0.997,0.0
1767164400,0.003,0.997,445.661111
1767168000,0.005,0.995,0.0
1767171600,0.005,0.995,0.0
1767175200,0.006,0.994,0.0
1767178800,0.005,0.995,0.0
1767182400,0.005,0.995,0.0
1767186000,0.005,0.995,0.0
1767189600,0.005,0.995,100.0
1767193200,0.004,0.996,0.0
1767196800,0.004,0.996,0.0
1767200400,0.004,0.996,0.0
1767204000,0.004,0.996,0.0
1767207600,0.004,0.996,0.0
1767211200,0.004,0.996,0.0
1767214800,0.004,0.996,265.99
1767218400,0.004,0.996,89.1
1767222000,0.004,0.996,1.17
1767225600,0.004,0.996,37.93
1767229200,0.002,0.998,0.0
1767232800,0.002,0.998,0.0
1767236400,0.002,0.998,0.0
1767240000,0.002,0.998,387.0
1767243600,0.002,0.998,2708.726
1767247200,0.0,1.0,682.81
1767250800,0.0,1.0,0.0
1767254400,0.0,1.0,0.0
1767258000,0.0,1.0,2.99
1767261600,0.0,1.0,0.0
1767265200,0.0,1.0,0.0
1767268800,0.0,1.0,0.0
1767272400,0.0,1.0,0.0
1767276000,0.0,1.0,0.0
1767279600,0.0,1.0,0.0
1767283200,0.0,1.0,0.0
1767286800,0.0,1.0,0.0
1767290400,0.0,1.0,0.0
1767294000,0.0,1.0,0.0
1767297600,0.0,1.0,0.0
1767301200,0.0,1.0,0.0
1767304800,0.0,1.0,0.0
1767308400,0.0,1.0,0.0
1767312000,0.0,1.0,0.0
1767315600,0.0,1.0,0.0
1767319200,0.0,1.0,0.0
1767322800,0.0,1.0,0.0
1767326400,0.0,1.0,0.0
1767330000,0.0,1.0,0.0
1767333600,0.0,1.0,0.0
1767337200,0.0,1.0,0.0
1767340800,0.0,1.0,0.0
1767344400,0.0,1.0,0.0
1767348000,0.0,1.0,0.0
1767351600,0.0,1.0,0.0
1767355200,0.0,1.0,0.0
1767358800,0.0,1.0,0.0
1767362400,0.0,1.0,0.0
1767366000,0.0,1.0,0.0
1767369600,0.0,1.0,0.0
1767373200,0.0,1.0,0.0
1767376800,0.0,1.0,0.0
1767380400,0.0,1.0,0.0
1767384000,0.0,1.0,0.0
1767387600,0.0,1.0,0.0
1767391200,0.0,1.0,0.0
1767394800,0.0,1.0,0.0
1767398400,0.0,1.0,0.0
1767402000,0.0,1.0,0.0
1767405600,0.0,1.0,0.0
1767409200,0.0,1.0,0.0
1767412800,0.0,1.0,0.0
1767416400,0.0,1.0,0.0
1767420000,0.0,1.0,0.0
1767423600,0.0,1.0,0.0
1767427200,0.0,1.0,0.0
1767430800,0.0,1.0,0.0
1767434400,0.0,1.0,0.0
1767438000,0.0,1.0,0.0
1767441600,0.0,1.0,0.0
1767445200,0.0,1.0,0.0
1767448800,0.0,1.0,0.0
1767452400,0.0,1.0,0.0
1767456000,0.0,1.0,0.0
1767459600,0.0,1.0,0.0
1767463200,0.0,1.0,0.0
1767466800,0.0,1.0,0.0
1767470400,0.0,1.0,0.0
1767474000,0.0,1.0,0.0
1767477600,0.0,1.0,0.0
1767481200,0.0,1.0,0.0
1767484800,0.0,1.0,0.0
1767488400,0.0,1.0,0.0
1767492000,0.0,1.0,0.0
1767495600,0.0,1.0,0.0
1767499200,0.0,1.0,0.0
1767502800,0.0,1.0,0.0
1767506400,0.0,1.0,0.0
1767510000,0.0,1.0,0.0
1767513600,0.0,1.0,0.0
1767517200,0.0,1.0,0.0
1767520800,0.0,1.0,0.0
1767524400,0.0,1.0,0.0
1767528000,0.0,1.0,0.0
1767531600,0.0,1.0,0.0
1767535200,0.0,1.0,0.0
1767538800,0.0,1.0,0.0
1767542400,0.0,1.0,0.0
1767546000,0.0,1.0,0.0
1767549600,0.0,1.0,0.0
1767553200,0.0,1.0,0.0
1767556800,0.0,1.0,0.0
1767560400,0.0,1.0,0.0
1767564000,0.0,1.0,0.0
1767567600,0.0,1.0,0.0
1767571200,0.0,1.0,0.0
1767574800,0.0,1.0,0.0
