timestamp,price_yes,price_no,volume
1768953600,0.06,0.94,1254.237125
1768957200,0.04,0.96,2151.1298950000005
1768960800,0.036,0.964,2230.188493
1768964400,0.014,0.986,208.92333
1768968000,0.016,0.984,2316.229115
1768971600,0.006,0.994,2407.57907
1768975200,0.018,0.982,7956.190928000001
1768978800,0.035,0.965,2402.40192
1768982400,0.03,0.97,4524.113012
1768986000,0.016,0.97,12584.028241
1768989600,0.008,0.992,3214.523075
1768993200,0.014,0.986,2027.593038
1768996800,0.012,0.988,2421.26607
1769000400,0.016,0.984,5309.143485999999
1769004000,0.014,0.986,7719.1173800000015
1769007600,0.023,0.977,12718.084043999996
1769011200,0.036,0.964,9674.719930999998
1769014800,0.044,0.956,10401.330751000003
1769018400,0.04,0.96,24332.91731400001
1769022000,0.042,0.958,7312.630827999999
1769025600,0.043,0.957,21609.965836
1769029200,0.048,0.957,9093.611015
1769032800,0.038,0.962,6061.393199999999
1769036400,0.031,0.969,5717.361554
1769040000,0.03,0.97,4669.260086
1769043600,0.038,0.962,844.1712930000001
1769047200,0.03,0.97,10001.995889
1769050800,0.018,0.982,1935.358395
1769054400,0.018,0.982,3660.217775
1769058000,0.029,0.971,147.301166
1769061600,0.03,0.97,1689.9079879999997
1769065200,0.033,0.967,5979.884957
1769068800,0.039,0.961,7175.091103
1769072400,0.048,0.952,7802.350430999998
1769076000,0.032,0.968,65930.17436999996
1769079600,0.008,0.992,16279.747704
1769083200,0.01,0.992,31398.989856
1769086800,0.014,0.986,11631.619132999998
1769090400,0.009,0.991,15090.971688
1769094000,0.011,0.989,3965.539758
1769097600,0.008,0.992,26667.071368000004
1769101200,0.012,0.988,20807.376025
1769104800,0.004,0.996,18176.395609
1769108400,0.004,0.996,11686.246717000002
1769112000,0.004,0.996,9062.944997
1769115600,0.004,0.996,9386.340854
1769119200,0.006,0.994,7565.344282000002
1769122800,0.014,0.986,3713.8622570000007
1769126400,0.007,0.993,2181.841194
1769130000,0.006,0.994,3457.414001
1769133600,0.006,0.994,7513.537658
1769137200,0.01,0.99,1630.1856019999998
1769140800,0.008,0.992,1617.5926470000002
1769144400,0.008,0.992,2160.2355970000003
1769148000,0.007,0.993,736.411284
1769151600,0.006,0.994,3041.038344
1769155200,0.007,0.993,3029.438144
1769158800,0.004,0.996,2771.1733320000003
1769162400,0.004,0.996,2771.609988
