timestamp,price_yes,price_no,volume
1760565600,0.485,0.515,6.69171
1760569200,0.46,0.54,0.0
1760572800,0.465,0.535,0.0
1760576400,0.46,0.54,290.640975
1760580000,0.47,0.53,21.054744
1760583600,0.51,0.49,1.01
1760587200,0.505,0.495,231.61
1760590800,0.38,0.62,70.03
1760594400,0.355,0.645,130.80670600000002
1760598000,0.335,0.665,50.0
1760601600,0.305,0.695,177.783776
1760605200,0.295,0.705,64.084506
1760608800,0.295,0.705,0.0
1760612400,0.295,0.705,3.333332
1760616000,0.295,0.705,0.0
1760619600,0.295,0.705,66.666665
1760623200,0.295,0.705,38.967132
1760626800,0.295,0.705,3.333332
1760630400,0.295,0.705,0.0
1760634000,0.295,0.705,293.333332
1760637600,0.295,0.705,59.295772
1760641200,0.295,0.705,118.52
1760644800,0.295,0.705,7.042251
1760648400,0.295,0.705,7.042251
1760652000,0.295,0.705,0.0
1760655600,0.295,0.705,250.0
1760659200,0.295,0.705,20.0
1760662800,0.295,0.705,0.0
1760666400,0.295,0.705,55.59
1760670000,0.295,0.705,0.0
1760673600,0.295,0.705,0.0
1760677200,0.295,0.705,66.666665
1760680800,0.295,0.705,0.0
1760684400,0.295,0.705,1354.16
1760688000,0.315,0.685,0.0
1760691600,0.315,0.685,20.325
1760695200,0.315,0.685,251.751402
1760698800,0.32,0.68,540.85
1760702400,0.315,0.685,0.0
1760706000,0.315,0.685,30.303028
1760709600,0.315,0.685,0.0
1760713200,0.315,0.685,0.0
1760716800,0.315,0.685,502.15714
1760720400,0.315,0.685,615.68125
1760724000,0.365,0.635,0.0
1760727600,0.375,0.625,0.0
1760731200,0.385,0.615,160.61
1760734800,0.385,0.615,158.730157
1760738400,0.385,0.615,0.0
1760742000,0.395,0.605,0.0
1760745600,0.395,0.605,0.0
1760749200,0.395,0.605,0.0
1760752800,0.395,0.605,543.39
1760756400,0.385,0.615,0.0
1760760000,0.385,0.615,13.174602
1760763600,0.38,0.62,0.0
1760767200,0.375,0.625,81.03603
1760770800,0.375,0.625,0.0
1760774400,0.375,0.625,74.825395
1760778000,0.375,0.625,0.0
1760781600,0.375,0.625,0.0
1760785200,0.375,0.625,0.0
1760788800,0.375,0.625,404.761903
1760792400,0.375,0.625,59.2
1760796000,0.375,0.625,0.0
1760799600,0.375,0.625,215.079358
1760803200,0.375,0.625,100.0
1760806800,0.375,0.625,54.109521
1760810400,0.375,0.625,0.0
