timestamp,price_yes,price_no,volume
1766865600,0.475,0.525,0.0
1766869200,0.51,0.49,30.0
1766872800,0.55,0.45,1.388885
1766876400,0.575,0.425,319.873515
1766880000,0.695,0.305,0.0
1766883600,0.695,0.305,63.793595
1766887200,0.685,0.315,187.999769
1766890800,0.56,0.44,61.116677
1766894400,0.555,0.445,2179.63857
1766898000,0.9,0.1,671.034032
1766901600,0.84,0.16,426.474443
1766905200,0.72,0.28,105.0
1766908800,0.725,0.275,50.0
1766912400,0.75,0.25,868.145325
1766916000,0.64,0.36,445.973054
1766919600,0.695,0.305,311.505329
1766923200,0.705,0.295,365.078822
1766926800,0.675,0.325,167.072851
1766930400,0.665,0.335,326.990719
1766934000,0.635,0.365,47.717942
1766937600,0.63,0.37,479.2226849999999
1766941200,0.565,0.435,554.791166
1766944800,0.49,0.51,897.5303369999999
1766948400,0.55,0.45,1089.269794
1766952000,0.59,0.41,237.243942
1766955600,0.475,0.525,731.2301010000001
1766959200,0.43,0.57,275.242901
1766962800,0.405,0.595,77.877139
1766966400,0.395,0.605,57.936505
1766970000,0.395,0.605,145.73108000000002
1766973600,0.375,0.625,666.337532
1766977200,0.485,0.515,515.330193
1766980800,0.405,0.595,250.453664
1766984400,0.4,0.6,17.460311
1766988000,0.375,0.625,32.768694
1766991600,0.36,0.64,20.263156
1766995200,0.36,0.64,1160.07064
1766998800,0.2,0.8,343.535215
1767002400,0.27,0.73,3.703702
1767006000,0.245,0.755,38.221556
1767009600,0.235,0.765,680.9459
1767013200,0.305,0.695,101.22268400000002
1767016800,0.37,0.63,417.363778
1767020400,0.375,0.625,1310.0042199999998
1767024000,0.655,0.345,643.730896
1767027600,0.645,0.355,388.893897
1767031200,0.625,0.375,359.024023
1767034800,0.525,0.475,310.68674000000004
1767038400,0.555,0.445,506.510917
1767042000,0.505,0.495,303.2446070000001
1767045600,0.485,0.515,58.592905
1767049200,0.425,0.575,18.826512
1767052800,0.44,0.56,278.868941
1767056400,0.47,0.53,116.810757
1767060000,0.43,0.57,448.62
1767063600,0.455,0.545,877.550597
1767067200,0.425,0.575,13.21213
1767070800,0.4,0.6,36.393441
1767074400,0.4,0.6,90.73982
1767078000,0.425,0.575,317.88103
1767081600,0.385,0.615,17.259999999999998
1767085200,0.37,0.63,0.0
1767088800,0.355,0.645,564.271121
1767092400,0.355,0.645,232.69738
1767096000,0.365,0.635,1251.0119089999998
1767099600,0.31,0.69,1871.948868
1767103200,0.4,0.6,396.179492
1767106800,0.325,0.675,174.65094799999997
1767110400,0.3,0.7,2711.600185
1767114000,0.21,0.79,568.615397
1767117600,0.225,0.775,5320.161674999998
1767121200,0.18,0.82,1974.708693
1767124800,0.185,0.815,3905.985878
1767128400,0.33,0.67,2008.669711
1767132000,0.415,0.585,333.24953800000003
1767135600,0.42,0.58,3042.534767000001
1767139200,0.595,0.405,1655.972536
1767142800,0.425,0.575,188.777925
1767146400,0.34,0.66,145.205477
1767150000,0.34,0.66,667.415941
1767153600,0.25,0.75,20.185821
1767157200,0.3,0.7,141.484787
1767160800,0.225,0.775,470.264199
1767164400,0.185,0.815,783.813548
1767168000,0.23,0.77,743.8290870000001
1767171600,0.175,0.825,1581.120728
1767175200,0.145,0.855,913.194317
1767178800,0.15,0.85,1244.373566
1767182400,0.12,0.88,577.6129439999999
1767186000,0.105,0.895,787.589106
1767189600,0.17,0.83,1742.1665429999998
1767193200,0.145,0.855,1328.990324
1767196800,0.14,0.86,1075.208435
1767200400,0.115,0.885,1346.212166
1767204000,0.13,0.87,826.8407139999999
1767207600,0.09,0.91,3483.148937
1767211200,0.065,0.935,8308.106459000002
1767214800,0.125,0.875,5649.547624000001
1767218400,0.09,0.91,2107.754085
1767222000,0.08,0.92,2703.470926
1767225600,0.07,0.93,4435.173758000001
1767229200,0.05,0.95,1163.881679
1767232800,0.088,0.912,884.0450780000001
1767236400,0.058,0.942,320.804659
1767240000,0.074,0.926,2536.16703
