timestamp,price_yes,price_no,volume
1762974000,0.42,0.58,486.574422
1762977600,0.105,0.895,589.5332879999999
1762981200,0.07,0.93,2541.350079
1762984800,0.095,0.905,895.37126
1762988400,0.095,0.905,4.6
1762992000,0.085,0.915,1313.4369499999998
1762995600,0.08,0.92,0.0
1762999200,0.075,0.925,22.127658
1763002800,0.07,0.93,0.0
1763006400,0.07,0.93,0.0
1763010000,0.07,0.93,16.28
1763013600,0.065,0.935,69.604853
1763017200,0.065,0.935,3.127656
1763020800,0.065,0.935,693.860969
1763024400,0.07,0.93,0.0
1763028000,0.065,0.935,5.18
1763031600,0.065,0.935,106.063828
1763035200,0.065,0.935,739.94
1763038800,0.065,0.935,500.0
1763042400,0.065,0.935,975.04869
1763046000,0.065,0.935,705.27
1763049600,0.075,0.925,740.0
1763053200,0.07,0.93,47.005371
1763056800,0.075,0.925,32.258057
1763060400,0.075,0.925,21894.586661
1763064000,0.125,0.875,407.59895
1763067600,0.095,0.905,129.89010000000002
1763071200,0.095,0.905,0.0
1763074800,0.095,0.905,0.0
1763078400,0.095,0.905,152.864066
1763082000,0.09,0.91,43.21
1763085600,0.095,0.905,98.901097
1763089200,0.095,0.905,1665.0
1763092800,0.095,0.905,0.0
1763096400,0.095,0.905,3999.49
1763100000,0.13,0.87,5.617972
1763103600,0.115,0.885,2.24719
1763107200,0.115,0.885,73.75999999999999
1763110800,0.105,0.895,0.0
1763114400,0.105,0.895,105.0
1763118000,0.105,0.895,16.85
1763121600,0.105,0.895,0.0
1763125200,0.105,0.895,0.0
1763128800,0.105,0.895,0.0
1763132400,0.105,0.895,9.090908
1763136000,0.105,0.895,0.0
1763139600,0.105,0.895,0.0
1763143200,0.105,0.895,0.0
1763146800,0.105,0.895,0.0
1763150400,0.105,0.895,0.0
1763154000,0.105,0.895,0.0
1763157600,0.105,0.895,0.0
1763161200,0.105,0.895,91.11111
1763164800,0.105,0.895,0.0
1763168400,0.105,0.895,0.0
1763172000,0.105,0.895,0.0
1763175600,0.105,0.895,418.13
1763179200,0.095,0.905,1611.11
1763182800,0.09,0.91,0.0
1763186400,0.085,0.915,0.0
1763190000,0.085,0.915,4.347825
1763193600,0.085,0.915,0.0
1763197200,0.085,0.915,0.0
1763200800,0.085,0.915,0.0
1763204400,0.085,0.915,0.0
1763208000,0.085,0.915,0.0
1763211600,0.085,0.915,11.11111
1763215200,0.085,0.915,11.1
1763218800,0.085,0.915,36.08695
1763222400,0.085,0.915,0.0
1763226000,0.085,0.915,0.0
1763229600,0.085,0.915,50.0
1763233200,0.085,0.915,0.0
1763236800,0.085,0.915,1.08695
1763240400,0.085,0.915,0.0
1763244000,0.085,0.915,0.0
1763247600,0.085,0.915,0.0
1763251200,0.085,0.915,521.7391250000001
