timestamp,price_yes,price_no,volume
1764194400,0.47,0.53,0.0
1764198000,0.64,0.36,0.0
1764201600,0.64,0.36,0.0
1764205200,0.63,0.37,13.473683
1764208800,0.635,0.365,0.0
1764212400,0.635,0.365,1.315787
1764216000,0.635,0.365,27.074824
1764219600,0.65,0.35,1.28205
1764223200,0.645,0.355,91.7705
1764226800,0.445,0.555,0.0
1764230400,0.41,0.59,12.8125
1764234000,0.53,0.47,6.666665
1764237600,0.53,0.47,25.31
1764241200,0.415,0.585,7.529999999999999
1764244800,0.465,0.535,6164.170149
1764248400,0.725,0.275,564.658204
1764252000,0.745,0.255,117.522374
1764255600,0.77,0.23,588.353702
1764259200,0.77,0.23,853.5359470000001
1764262800,0.77,0.23,1535.8232120000002
1764266400,0.72,0.28,32.1875
1764270000,0.72,0.28,31.666665
1764273600,0.715,0.285,375.345787
1764277200,0.71,0.29,891.99
1764280800,0.76,0.24,929.551281
1764284400,0.735,0.265,0.0
1764288000,0.72,0.28,0.0
1764291600,0.72,0.28,0.0
1764295200,0.72,0.28,0.0
1764298800,0.72,0.28,0.0
1764302400,0.72,0.28,0.0
1764306000,0.72,0.28,26.32
1764309600,0.715,0.285,3.125
1764313200,0.715,0.285,62.5
1764316800,0.74,0.26,0.0
1764320400,0.735,0.265,164.247891
1764324000,0.735,0.265,95.0
1764327600,0.73,0.27,15.97297
1764331200,0.73,0.27,68.571427
1764334800,0.73,0.27,22.364669
1764338400,0.75,0.25,79.30846
1764342000,0.75,0.25,19.02
1764345600,0.745,0.255,216.923075
1764349200,0.745,0.255,6.937406
1764352800,0.74,0.26,200.0
1764356400,0.74,0.26,355.32
1764360000,0.715,0.285,148.49482600000002
1764363600,0.725,0.275,2.78
1764367200,0.725,0.275,0.0
1764370800,0.72,0.28,0.0
1764374400,0.72,0.28,832.94
1764378000,0.725,0.275,9.0
1764381600,0.725,0.275,3.448274
1764385200,0.725,0.275,0.0
1764388800,0.725,0.275,0.0
1764392400,0.73,0.27,0.0
1764396000,0.73,0.27,15.101427
1764399600,0.73,0.27,3.571427
1764403200,0.73,0.27,0.0
1764406800,0.735,0.265,125.0
1764410400,0.73,0.27,89.285713
1764414000,0.73,0.27,7.141427
1764417600,0.73,0.27,0.0
1764421200,0.725,0.275,5.0
1764424800,0.735,0.265,0.0
1764428400,0.735,0.265,1.35135
1764432000,0.735,0.265,0.0
1764435600,0.735,0.265,320.815713
1764439200,0.705,0.295,58.59
1764442800,0.67,0.33,5.405404
1764446400,0.67,0.33,20.0
1764450000,0.66,0.34,78.714284
1764453600,0.685,0.315,113.28125
1764457200,0.7,0.3,0.0
1764460800,0.69,0.31,0.0
1764464400,0.69,0.31,0.0
1764468000,0.68,0.32,0.0
1764471600,0.68,0.32,0.0
1764475200,0.68,0.32,0.0
1764478800,0.685,0.315,0.0
1764482400,0.685,0.315,0.0
1764486000,0.685,0.315,0.0
1764489600,0.685,0.315,0.0
1764493200,0.685,0.315,507.5102
1764496800,0.535,0.465,246.12264
1764500400,0.505,0.495,0.0
1764504000,0.475,0.525,91.83
1764507600,0.55,0.45,0.0
1764511200,0.575,0.425,10.869564
1764514800,0.595,0.405,0.0
1764518400,0.58,0.42,26.770878
1764522000,0.59,0.41,0.0
1764525600,0.59,0.41,0.0
1764529200,0.59,0.41,24.590161
1764532800,0.59,0.41,0.0
1764536400,0.6,0.4,0.0
1764540000,0.6,0.4,1.56
1764543600,0.605,0.395,0.0
1764547200,0.61,0.39,0.0
1764550800,0.625,0.375,0.0
1764554400,0.585,0.415,0.0
1764558000,0.595,0.405,10.2
1764561600,0.585,0.415,0.0
1764565200,0.585,0.415,142.18511
1764568800,0.575,0.425,0.0
1764572400,0.575,0.425,2.222221
1764576000,0.57,0.43,0.0
1764579600,0.58,0.42,0.0
1764583200,0.585,0.415,0.0
1764586800,0.58,0.42,0.0
1764590400,0.58,0.42,0.0
1764594000,0.58,0.42,38.32558
1764597600,0.58,0.42,4.651161
1764601200,0.58,0.42,0.0
1764604800,0.58,0.42,111.092305
1764608400,0.605,0.395,11.90476
1764612000,0.61,0.39,15.810936
1764615600,0.605,0.395,33.5073
1764619200,0.615,0.385,271.24634
1764622800,0.605,0.395,0.0
1764626400,0.595,0.405,7.936505
1764630000,0.6,0.4,229.054129
1764633600,0.57,0.43,0.0
1764637200,0.585,0.415,0.0
1764640800,0.585,0.415,0.0
1764644400,0.585,0.415,0.0
1764648000,0.585,0.415,0.0
1764651600,0.585,0.415,0.0
1764655200,0.585,0.415,0.0
1764658800,0.585,0.415,0.0
1764662400,0.585,0.415,0.0
1764666000,0.58,0.42,0.0
1764669600,0.585,0.415,20.0
1764673200,0.595,0.405,111.824892
1764676800,0.56,0.44,0.0
1764680400,0.56,0.44,0.0
1764684000,0.57,0.43,105.0
1764687600,0.585,0.415,209.099997
1764691200,0.585,0.415,110.0
1764694800,0.6,0.4,58.19672
1764698400,0.6,0.4,1323.130393
1764702000,0.665,0.335,202.857141
1764705600,0.665,0.335,200.0
1764709200,0.645,0.355,420.67
1764712800,0.635,0.365,0.0
1764716400,0.64,0.36,155.0
1764720000,0.635,0.365,0.0
1764723600,0.625,0.375,201.14
1764727200,0.585,0.415,2.380951
1764730800,0.585,0.415,0.0
1764734400,0.585,0.415,0.0
1764738000,0.585,0.415,77.0
1764741600,0.565,0.435,0.0
1764745200,0.555,0.445,368.0
1764748800,0.545,0.455,0.0
1764752400,0.545,0.455,26.66
1764756000,0.545,0.455,268.0
1764759600,0.545,0.455,0.0
1764763200,0.545,0.455,578.82
1764766800,0.53,0.47,0.0
1764770400,0.535,0.465,0.0
1764774000,0.535,0.465,0.0
1764777600,0.535,0.465,11.25
1764781200,0.53,0.47,1.785713
1764784800,0.53,0.47,515.125086
1764788400,0.54,0.46,0.0
1764792000,0.54,0.46,85.425826
1764795600,0.535,0.465,20.4
1764799200,0.525,0.475,0.0
1764802800,0.53,0.47,10.32
1764806400,0.53,0.47,0.0
1764810000,0.53,0.47,0.0
1764813600,0.525,0.475,0.0
1764817200,0.515,0.485,0.0
1764820800,0.53,0.47,300.662829
1764824400,0.485,0.515,0.0
1764828000,0.485,0.515,0.0
1764831600,0.48,0.52,118.0
1764835200,0.48,0.52,286.0
1764838800,0.48,0.52,386.96
1764842400,0.43,0.57,0.0
1764846000,0.425,0.575,0.0
1764849600,0.43,0.57,521.24
1764853200,0.355,0.645,0.0
1764856800,0.36,0.64,0.0
1764860400,0.35,0.65,0.0
1764864000,0.345,0.655,103.0
1764867600,0.34,0.66,49.45797
1764871200,0.34,0.66,20.12
1764874800,0.34,0.66,186.08
1764878400,0.34,0.66,305.470587
1764882000,0.34,0.66,352.55555400000003
1764885600,0.335,0.665,0.0
1764889200,0.33,0.67,567.888404
1764892800,0.325,0.675,0.0
1764896400,0.325,0.675,4.347825
1764900000,0.32,0.68,125.0
1764903600,0.32,0.68,0.0
1764907200,0.32,0.68,185.898549
1764910800,0.32,0.68,0.0
1764914400,0.32,0.68,0.0
1764918000,0.32,0.68,10.688851
1764921600,0.32,0.68,0.0
1764925200,0.32,0.68,0.0
1764928800,0.32,0.68,20.0
1764932400,0.32,0.68,0.0
1764936000,0.32,0.68,173.04531100000003
1764939600,0.325,0.675,0.0
1764943200,0.32,0.68,125.0
1764946800,0.32,0.68,0.0
1764950400,0.325,0.675,39.147057
1764954000,0.325,0.675,0.0
1764957600,0.325,0.675,0.0
1764961200,0.325,0.675,0.0
1764964800,0.325,0.675,0.0
1764968400,0.325,0.675,0.0
1764972000,0.325,0.675,0.0
1764975600,0.325,0.675,0.0
1764979200,0.325,0.675,0.0
1764982800,0.325,0.675,0.0
1764986400,0.325,0.675,0.0
1764990000,0.325,0.675,0.0
1764993600,0.325,0.675,0.0
1764997200,0.325,0.675,2.941175
1765000800,0.325,0.675,0.0
1765004400,0.325,0.675,0.0
1765008000,0.325,0.675,17.560586999999998
1765011600,0.325,0.675,0.0
1765015200,0.325,0.675,0.0
1765018800,0.325,0.675,0.0
1765022400,0.325,0.675,3.57
1765026000,0.325,0.675,209.97
1765029600,0.325,0.675,0.0
1765033200,0.325,0.675,264.0
1765036800,0.325,0.675,0.0
1765040400,0.325,0.675,0.0
1765044000,0.325,0.675,0.0
1765047600,0.325,0.675,783.10797
1765051200,0.275,0.725,89.0
1765054800,0.275,0.725,0.0
1765058400,0.275,0.725,14.864861
1765062000,0.275,0.725,19.0
1765065600,0.275,0.725,0.0
1765069200,0.275,0.725,0.0
1765072800,0.275,0.725,265.0
1765076400,0.275,0.725,78.0
1765080000,0.275,0.725,0.0
1765083600,0.275,0.725,653.99
1765087200,0.16,0.84,120.0
1765090800,0.16,0.84,0.0
1765094400,0.14,0.86,20.4
1765098000,0.16,0.84,226.05
1765101600,0.135,0.865,0.0
1765105200,0.115,0.885,0.0
1765108800,0.135,0.865,0.0
1765112400,0.125,0.875,0.0
1765116000,0.125,0.875,0.0
1765119600,0.145,0.855,20.0
1765123200,0.155,0.845,24.39
1765126800,0.155,0.845,0.0
1765130400,0.16,0.84,0.0
1765134000,0.17,0.83,0.0
1765137600,0.175,0.825,12.048191
1765141200,0.175,0.825,5.555554
1765144800,0.175,0.825,284.0
1765148400,0.17,0.83,128.0
1765152000,0.165,0.835,0.0
1765155600,0.165,0.835,309.14
1765159200,0.165,0.835,0.0
1765162800,0.165,0.835,0.0
1765166400,0.165,0.835,0.0
1765170000,0.165,0.835,2.89
1765173600,0.165,0.835,267.85
1765177200,0.175,0.825,0.0
1765180800,0.185,0.815,3.03
1765184400,0.185,0.815,136.96
1765188000,0.19,0.81,0.0
1765191600,0.18,0.82,0.0
1765195200,0.185,0.815,106.0
1765198800,0.17,0.83,0.0
1765202400,0.17,0.83,548.90476
