timestamp,price_yes,price_no,volume
1761181200,0.395,0.605,0.0
1761184800,0.545,0.455,0.0
1761188400,0.545,0.455,0.0
1761192000,0.545,0.455,0.0
1761195600,0.545,0.455,0.0
1761199200,0.545,0.455,0.0
1761202800,0.545,0.455,0.0
1761206400,0.465,0.535,0.0
1761210000,0.405,0.595,0.0
1761213600,0.405,0.595,0.0
1761217200,0.405,0.595,0.0
1761220800,0.405,0.595,0.0
1761224400,0.485,0.515,0.0
1761228000,0.535,0.465,0.0
1761231600,0.57,0.43,0.0
1761235200,0.61,0.39,0.0
1761238800,0.65,0.35,0.0
1761242400,0.635,0.365,0.0
1761246000,0.635,0.365,0.0
1761249600,0.62,0.38,0.0
1761253200,0.705,0.295,0.0
1761256800,0.72,0.28,0.0
1761260400,0.72,0.28,0.0
1761264000,0.72,0.28,0.0
1761267600,0.705,0.295,0.0
1761271200,0.715,0.285,0.0
1761274800,0.685,0.315,0.0
1761278400,0.725,0.275,0.0
1761282000,0.725,0.275,0.0
1761285600,0.72,0.28,0.0
1761289200,0.685,0.315,0.0
1761292800,0.635,0.365,0.0
1761296400,0.615,0.385,0.0
1761300000,0.645,0.355,0.0
1761303600,0.645,0.355,0.0
1761307200,0.7,0.3,0.0
1761310800,0.705,0.295,0.0
1761314400,0.68,0.32,0.0
1761318000,0.73,0.27,0.0
1761321600,0.695,0.305,0.0
1761325200,0.69,0.31,0.0
1761328800,0.705,0.295,0.0
1761332400,0.665,0.335,0.0
1761336000,0.715,0.285,0.0
1761339600,0.75,0.25,0.0
1761343200,0.75,0.25,0.0
1761346800,0.6,0.4,0.0
1761350400,0.7,0.3,0.0
1761354000,0.7,0.3,0.0
1761357600,0.71,0.29,0.0
1761361200,0.77,0.23,0.0
1761364800,0.78,0.22,0.0
1761368400,0.8,0.2,0.0
1761372000,0.795,0.205,0.0
1761375600,0.795,0.205,0.0
1761379200,0.795,0.205,0.0
1761382800,0.665,0.335,0.0
1761386400,0.695,0.305,0.0
1761390000,0.64,0.36,0.0
1761393600,0.66,0.34,0.0
1761397200,0.65,0.35,0.0
1761400800,0.65,0.35,0.0
1761404400,0.64,0.36,0.0
1761408000,0.655,0.345,0.0
1761411600,0.685,0.315,0.0
1761415200,0.685,0.315,0.0
1761418800,0.71,0.29,0.0
1761422400,0.72,0.28,0.0
1761426000,0.755,0.245,0.0
1761429600,0.755,0.245,0.0
1761433200,0.75,0.25,0.0
1761436800,0.735,0.265,0.0
1761440400,0.745,0.255,0.0
1761444000,0.745,0.255,0.0
1761447600,0.745,0.255,0.0
1761451200,0.745,0.255,0.0
1761454800,0.725,0.275,0.0
1761458400,0.705,0.295,0.0
1761462000,0.705,0.295,0.0
1761465600,0.715,0.285,0.0
1761469200,0.715,0.285,0.0
1761472800,0.655,0.345,0.0
1761476400,0.63,0.37,0.0
1761480000,0.635,0.365,0.0
1761483600,0.645,0.355,0.0
1761487200,0.645,0.355,0.0
1761490800,0.645,0.355,0.0
1761494400,0.665,0.335,0.0
1761498000,0.665,0.335,0.0
1761501600,0.665,0.335,0.0
1761505200,0.675,0.325,0.0
1761508800,0.67,0.33,0.0
1761512400,0.675,0.325,0.0
1761516000,0.66,0.34,0.0
1761519600,0.66,0.34,0.0
1761523200,0.66,0.34,0.0
1761526800,0.66,0.34,0.0
1761530400,0.66,0.34,0.0
1761534000,0.66,0.34,0.0
1761537600,0.665,0.335,0.0
1761541200,0.665,0.335,0.0
1761544800,0.665,0.335,0.0
1761548400,0.665,0.335,0.0
1761552000,0.665,0.335,0.0
1761555600,0.665,0.335,0.0
1761559200,0.665,0.335,0.0
1761562800,0.665,0.335,0.0
1761566400,0.665,0.335,0.0
1761570000,0.665,0.335,0.0
1761573600,0.665,0.335,0.0
1761577200,0.69,0.31,0.0
1761580800,0.69,0.31,0.0
1761584400,0.69,0.31,0.0
1761588000,0.71,0.29,0.0
1761591600,0.69,0.31,0.0
1761595200,0.68,0.32,0.0
1761598800,0.685,0.315,0.0
1761602400,0.675,0.325,0.0
1761606000,0.64,0.36,0.0
1761609600,0.655,0.345,0.0
1761613200,0.61,0.39,0.0
1761616800,0.615,0.385,0.0
1761620400,0.625,0.375,0.0
1761624000,0.645,0.355,0.0
1761627600,0.645,0.355,0.0
1761631200,0.645,0.355,0.0
1761634800,0.645,0.355,0.0
1761638400,0.645,0.355,0.0
1761642000,0.645,0.355,0.0
1761645600,0.645,0.355,0.0
1761649200,0.64,0.36,0.0
1761652800,0.645,0.355,0.0
1761656400,0.64,0.36,0.0
1761660000,0.63,0.37,0.0
1761663600,0.625,0.375,0.0
1761667200,0.625,0.375,0.0
1761670800,0.645,0.355,0.0
1761674400,0.65,0.35,0.0
1761678000,0.65,0.35,0.0
1761681600,0.655,0.345,0.0
1761685200,0.655,0.345,0.0
1761688800,0.655,0.345,0.0
1761692400,0.655,0.345,0.0
1761696000,0.655,0.345,0.0
1761699600,0.655,0.345,0.0
1761703200,0.655,0.345,0.0
1761706800,0.655,0.345,0.0
1761710400,0.655,0.345,0.0
1761714000,0.65,0.35,0.0
1761717600,0.65,0.35,0.0
1761721200,0.65,0.35,0.0
1761724800,0.65,0.35,0.0
1761728400,0.65,0.35,0.0
1761732000,0.65,0.35,0.0
1761735600,0.65,0.35,0.0
1761739200,0.65,0.35,0.0
1761742800,0.65,0.35,0.0
1761746400,0.655,0.345,0.0
1761750000,0.66,0.34,0.0
1761753600,0.66,0.34,0.0
1761757200,0.66,0.34,0.0
1761760800,0.66,0.34,0.0
1761764400,0.66,0.34,0.0
1761768000,0.66,0.34,0.0
1761771600,0.66,0.34,0.0
1761775200,0.66,0.34,0.0
1761778800,0.66,0.34,0.0
1761782400,0.66,0.34,0.0
1761786000,0.66,0.34,0.0
1761789600,0.66,0.34,0.0
1761793200,0.66,0.34,0.0
1761796800,0.66,0.34,0.0
1761800400,0.66,0.34,0.0
1761804000,0.66,0.34,0.0
1761807600,0.66,0.34,0.0
1761811200,0.66,0.34,0.0
1761814800,0.66,0.34,0.0
1761818400,0.66,0.34,0.0
1761822000,0.66,0.34,0.0
1761825600,0.66,0.34,0.0
1761829200,0.66,0.34,0.0
1761832800,0.66,0.34,0.0
1761836400,0.67,0.33,0.0
1761840000,0.71,0.29,0.0
1761843600,0.72,0.28,0.0
1761847200,0.72,0.28,0.0
1761850800,0.725,0.275,0.0
1761854400,0.72,0.28,0.0
1761858000,0.715,0.285,0.0
1761861600,0.715,0.285,0.0
1761865200,0.715,0.285,0.0
1761868800,0.74,0.26,0.0
1761872400,0.74,0.26,0.0
1761876000,0.735,0.265,0.0
1761879600,0.725,0.275,0.0
1761883200,0.725,0.275,0.0
1761886800,0.72,0.28,0.0
1761890400,0.725,0.275,0.0
1761894000,0.725,0.275,0.0
1761897600,0.72,0.28,0.0
1761901200,0.725,0.275,0.0
1761904800,0.725,0.275,0.0
1761908400,0.715,0.285,0.0
1761912000,0.71,0.29,0.0
1761915600,0.71,0.29,0.0
1761919200,0.73,0.27,0.0
1761922800,0.73,0.27,0.0
1761926400,0.735,0.265,0.0
1761930000,0.705,0.295,0.0
1761933600,0.715,0.285,0.0
1761937200,0.705,0.295,0.0
1761940800,0.725,0.275,0.0
1761944400,0.725,0.275,0.0
1761948000,0.725,0.275,0.0
1761951600,0.735,0.265,0.0
1761955200,0.735,0.265,0.0
1761958800,0.725,0.275,0.0
1761962400,0.725,0.275,0.0
1761966000,0.735,0.265,0.0
1761969600,0.75,0.25,0.0
1761973200,0.745,0.255,0.0
1761976800,0.74,0.26,0.0
1761980400,0.74,0.26,0.0
1761984000,0.695,0.305,0.0
1761987600,0.695,0.305,0.0
1761991200,0.695,0.305,0.0
1761994800,0.7,0.3,0.0
1761998400,0.7,0.3,0.0
1762002000,0.7,0.3,0.0
1762005600,0.705,0.295,0.0
1762009200,0.705,0.295,0.0
1762012800,0.705,0.295,0.0
1762016400,0.705,0.295,0.0
1762020000,0.705,0.295,0.0
1762023600,0.72,0.28,0.0
1762027200,0.715,0.285,0.0
1762030800,0.695,0.305,0.0
1762034400,0.695,0.305,0.0
1762038000,0.695,0.305,0.0
1762041600,0.695,0.305,0.0
1762045200,0.695,0.305,0.0
1762048800,0.695,0.305,0.0
1762052400,0.695,0.305,0.0
1762056000,0.695,0.305,0.0
1762059600,0.695,0.305,0.0
1762063200,0.695,0.305,0.0
1762066800,0.695,0.305,0.0
1762070400,0.695,0.305,0.0
1762074000,0.695,0.305,0.0
1762077600,0.695,0.305,0.0
1762081200,0.71,0.29,0.0
1762084800,0.71,0.29,0.0
1762088400,0.7,0.3,0.0
1762092000,0.7,0.3,0.0
1762095600,0.7,0.3,0.0
1762099200,0.665,0.335,0.0
1762102800,0.665,0.335,0.0
1762106400,0.665,0.335,0.0
1762110000,0.685,0.315,0.0
1762113600,0.685,0.315,0.0
1762117200,0.685,0.315,0.0
1762120800,0.685,0.315,0.0
1762124400,0.69,0.31,0.0
1762128000,0.69,0.31,0.0
1762131600,0.69,0.31,0.0
1762135200,0.69,0.31,0.0
1762138800,0.69,0.31,0.0
1762142400,0.69,0.31,0.0
1762146000,0.69,0.31,0.0
1762149600,0.69,0.31,0.0
1762153200,0.69,0.31,0.0
1762156800,0.69,0.31,0.0
1762160400,0.69,0.31,0.0
1762164000,0.69,0.31,0.0
1762167600,0.72,0.28,0.0
1762171200,0.72,0.28,0.0
1762174800,0.72,0.28,0.0
1762178400,0.72,0.28,0.0
1762182000,0.72,0.28,0.0
1762185600,0.72,0.28,0.0
1762189200,0.72,0.28,0.0
1762192800,0.72,0.28,0.0
1762196400,0.72,0.28,0.0
1762200000,0.715,0.285,0.0
1762203600,0.72,0.28,0.0
1762207200,0.72,0.28,0.0
1762210800,0.725,0.275,0.0
1762214400,0.725,0.275,0.0
1762218000,0.72,0.28,0.0
1762221600,0.725,0.275,0.0
1762225200,0.72,0.28,0.0
1762228800,0.72,0.28,0.0
1762232400,0.72,0.28,0.0
1762236000,0.72,0.28,0.0
1762239600,0.72,0.28,0.0
1762243200,0.72,0.28,0.0
1762246800,0.72,0.28,0.0
1762250400,0.72,0.28,0.0
1762254000,0.72,0.28,0.0
1762257600,0.715,0.285,0.0
1762261200,0.715,0.285,0.0
1762264800,0.71,0.29,0.0
1762268400,0.71,0.29,0.0
1762272000,0.685,0.315,0.0
1762275600,0.685,0.315,0.0
1762279200,0.69,0.31,0.0
1762282800,0.69,0.31,0.0
1762286400,0.705,0.295,0.0
1762290000,0.695,0.305,0.0
1762293600,0.695,0.305,0.0
1762297200,0.695,0.305,0.0
1762300800,0.695,0.305,0.0
1762304400,0.695,0.305,0.0
1762308000,0.695,0.305,0.0
1762311600,0.69,0.31,0.0
1762315200,0.69,0.31,0.0
1762318800,0.69,0.31,0.0
1762322400,0.69,0.31,0.0
1762326000,0.685,0.315,0.0
1762329600,0.685,0.315,0.0
1762333200,0.685,0.315,0.0
1762336800,0.685,0.315,0.0
1762340400,0.685,0.315,0.0
1762344000,0.685,0.315,0.0
1762347600,0.685,0.315,0.0
1762351200,0.685,0.315,0.0
1762354800,0.685,0.315,0.0
1762358400,0.685,0.315,0.0
1762362000,0.645,0.355,0.0
1762365600,0.625,0.375,0.0
1762369200,0.625,0.375,0.0
1762372800,0.63,0.37,0.0
1762376400,0.615,0.385,0.0
1762380000,0.635,0.365,0.0
1762383600,0.625,0.375,0.0
1762387200,0.615,0.385,0.0
1762390800,0.63,0.37,0.0
1762394400,0.625,0.375,0.0
1762398000,0.635,0.365,0.0
1762401600,0.64,0.36,0.0
1762405200,0.605,0.395,0.0
1762408800,0.605,0.395,0.0
1762412400,0.615,0.385,0.0
1762416000,0.615,0.385,0.0
1762419600,0.545,0.455,0.0
1762423200,0.55,0.45,0.0
1762426800,0.515,0.485,0.0
1762430400,0.505,0.495,0.0
1762434000,0.515,0.485,0.0
1762437600,0.5,0.5,0.0
1762441200,0.475,0.525,0.0
1762444800,0.495,0.505,0.0
1762448400,0.495,0.505,0.0
1762452000,0.51,0.49,0.0
1762455600,0.595,0.405,0.0
1762459200,0.555,0.445,0.0
1762462800,0.585,0.415,0.0
1762466400,0.545,0.455,0.0
1762470000,0.555,0.445,0.0
1762473600,0.56,0.44,0.0
1762477200,0.55,0.45,0.0
1762480800,0.545,0.455,0.0
1762484400,0.52,0.48,0.0
1762488000,0.51,0.49,0.0
1762491600,0.465,0.535,0.0
1762495200,0.465,0.535,0.0
1762498800,0.475,0.525,0.0
1762502400,0.475,0.525,0.0
1762506000,0.475,0.525,0.0
1762509600,0.475,0.525,0.0
1762513200,0.48,0.52,0.0
1762516800,0.48,0.52,0.0
1762520400,0.48,0.52,0.0
1762524000,0.485,0.515,0.0
1762527600,0.485,0.515,0.0
1762531200,0.485,0.515,0.0
1762534800,0.485,0.515,0.0
1762538400,0.425,0.575,0.0
1762542000,0.39,0.61,0.0
1762545600,0.395,0.605,0.0
1762549200,0.375,0.625,0.0
1762552800,0.375,0.625,0.0
1762556400,0.375,0.625,0.0
1762560000,0.375,0.625,0.0
1762563600,0.375,0.625,0.0
1762567200,0.375,0.625,0.0
1762570800,0.375,0.625,0.0
1762574400,0.375,0.625,0.0
1762578000,0.375,0.625,0.0
1762581600,0.375,0.625,0.0
