timestamp,price_yes,price_no,volume
1758326400,0.45,0.55,0.0
1758330000,0.495,0.505,0.0
1758333600,0.515,0.485,1.265819
1758337200,0.515,0.485,0.0
1758340800,0.505,0.495,0.0
1758344400,0.585,0.415,18.441552
1758348000,0.585,0.415,0.0
1758351600,0.605,0.395,3.941574
1758355200,0.64,0.36,0.0
1758358800,0.64,0.36,0.0
1758362400,0.64,0.36,21.18268
1758366000,0.61,0.39,64.010417
1758369600,0.6,0.4,0.0
1758373200,0.585,0.415,1.5625
1758376800,0.58,0.42,0.0
1758380400,0.58,0.42,2.173912
1758384000,0.585,0.415,0.0
1758387600,0.585,0.415,150.0
1758391200,0.58,0.42,1.26
1758394800,0.575,0.425,10.869564
1758398400,0.575,0.425,1.639343
1758402000,0.575,0.425,1.666665
1758405600,0.57,0.43,3.333332
1758409200,0.57,0.43,5.507244
1758412800,0.57,0.43,86.0
1758416400,0.575,0.425,0.0
1758420000,0.575,0.425,0.0
1758423600,0.575,0.425,2.173912
1758427200,0.575,0.425,0.0
1758430800,0.575,0.425,0.0
1758434400,0.575,0.425,0.0
1758438000,0.575,0.425,0.0
1758441600,0.575,0.425,0.0
1758445200,0.575,0.425,15.798907
1758448800,0.575,0.425,0.0
1758452400,0.575,0.425,6.557376
1758456000,0.575,0.425,0.0
1758459600,0.575,0.425,96.426228
1758463200,0.58,0.42,0.0
1758466800,0.575,0.425,0.0
1758470400,0.575,0.425,16.666665
1758474000,0.58,0.42,0.0
1758477600,0.58,0.42,0.0
1758481200,0.58,0.42,0.0
1758484800,0.575,0.425,0.0
1758488400,0.575,0.425,2.272726
1758492000,0.565,0.435,2.173912
1758495600,0.565,0.435,26.33
1758499200,0.59,0.41,0.0
1758502800,0.585,0.415,8.064515
1758506400,0.575,0.425,0.0
1758510000,0.58,0.42,692.7138
1758513600,0.585,0.415,7.462684
1758517200,0.635,0.365,0.0
1758520800,0.635,0.365,1.449274
1758524400,0.635,0.365,2.380951
1758528000,0.635,0.365,0.0
1758531600,0.64,0.36,0.0
1758535200,0.64,0.36,14.492751
1758538800,0.645,0.355,5.128204
1758542400,0.645,0.355,19.117642000000004
1758546000,0.645,0.355,14.705881
1758549600,0.65,0.35,20.122685
1758553200,0.645,0.355,0.0
1758556800,0.645,0.355,0.0
1758560400,0.645,0.355,2.564101
1758564000,0.64,0.36,0.0
1758567600,0.645,0.355,88.947609
1758571200,0.645,0.355,0.0
1758574800,0.655,0.345,2693.32
1758578400,0.65,0.35,0.0
1758582000,0.665,0.335,0.0
1758585600,0.665,0.335,99.405072
1758589200,0.665,0.335,0.0
1758592800,0.665,0.335,0.0
1758596400,0.665,0.335,0.0
1758600000,0.665,0.335,0.0
1758603600,0.665,0.335,0.0
1758607200,0.665,0.335,50.0
1758610800,0.665,0.335,0.0
1758614400,0.665,0.335,135.0
1758618000,0.675,0.325,0.0
1758621600,0.675,0.325,7.46
1758625200,0.67,0.33,7.426468
1758628800,0.67,0.33,2.941174
1758632400,0.67,0.33,2.941174
1758636000,0.67,0.33,0.0
1758639600,0.67,0.33,0.0
1758643200,0.67,0.33,0.0
1758646800,0.67,0.33,0.0
1758650400,0.67,0.33,0.0
1758654000,0.67,0.33,0.0
1758657600,0.67,0.33,16.823528
1758661200,0.67,0.33,205.0
1758664800,0.705,0.295,7.0
1758668400,0.705,0.295,0.0
1758672000,0.705,0.295,0.0
1758675600,0.705,0.295,0.0
1758679200,0.705,0.295,0.0
1758682800,0.705,0.295,0.0
1758686400,0.705,0.295,7.46
1758690000,0.705,0.295,0.0
1758693600,0.705,0.295,0.0
1758697200,0.705,0.295,0.0
1758700800,0.705,0.295,0.0
1758704400,0.71,0.29,0.0
1758708000,0.71,0.29,1.388887
1758711600,0.71,0.29,0.0
1758715200,0.705,0.295,1.388887
1758718800,0.71,0.29,763.91
1758722400,0.65,0.35,1969.53
1758726000,0.61,0.39,200.0
1758729600,0.48,0.52,69.6
1758733200,0.365,0.635,33.2
1758736800,0.6,0.4,0.0
1758740400,0.6,0.4,31.33
1758744000,0.585,0.415,0.0
1758747600,0.575,0.425,0.0
1758751200,0.575,0.425,1.724136
1758754800,0.575,0.425,4.56
1758758400,0.575,0.425,0.0
1758762000,0.575,0.425,15.62
1758765600,0.58,0.42,0.0
1758769200,0.58,0.42,0.0
1758772800,0.575,0.425,0.0
1758776400,0.58,0.42,0.0
1758780000,0.58,0.42,0.0
1758783600,0.58,0.42,0.0
1758787200,0.58,0.42,1.72
1758790800,0.575,0.425,0.0
1758794400,0.575,0.425,0.0
1758798000,0.58,0.42,0.0
1758801600,0.575,0.425,0.0
1758805200,0.58,0.42,0.0
1758808800,0.58,0.42,0.0
1758812400,0.575,0.425,12.673661
1758816000,0.585,0.415,9.302324
1758819600,0.585,0.415,0.0
1758823200,0.6,0.4,0.0
1758826800,0.59,0.41,0.0
1758830400,0.59,0.41,0.0
1758834000,0.59,0.41,0.0
1758837600,0.59,0.41,0.0
1758841200,0.59,0.41,0.0
1758844800,0.59,0.41,0.0
1758848400,0.59,0.41,0.0
1758852000,0.59,0.41,0.0
1758855600,0.59,0.41,0.0
1758859200,0.59,0.41,0.0
1758862800,0.59,0.41,0.0
1758866400,0.59,0.41,0.0
1758870000,0.59,0.41,0.0
1758873600,0.59,0.41,0.0
1758877200,0.59,0.41,11.90476
1758880800,0.59,0.41,0.0
1758884400,0.59,0.41,0.0
1758888000,0.59,0.41,0.0
1758891600,0.59,0.41,0.0
1758895200,0.59,0.41,0.0
1758898800,0.59,0.41,0.0
1758902400,0.595,0.405,0.0
1758906000,0.595,0.405,0.0
1758909600,0.595,0.405,0.0
1758913200,0.585,0.415,0.0
1758916800,0.585,0.415,0.0
1758920400,0.595,0.405,0.0
1758924000,0.595,0.405,0.0
1758927600,0.585,0.415,0.0
1758931200,0.585,0.415,0.0
1758934800,0.585,0.415,3.389829
1758938400,0.59,0.41,3.39
1758942000,0.59,0.41,0.0
1758945600,0.58,0.42,0.0
1758949200,0.595,0.405,0.0
1758952800,0.595,0.405,0.0
1758956400,0.595,0.405,0.0
1758960000,0.595,0.405,0.0
1758963600,0.595,0.405,0.0
1758967200,0.595,0.405,0.0
1758970800,0.595,0.405,0.0
1758974400,0.595,0.405,0.0
1758978000,0.595,0.405,0.0
1758981600,0.595,0.405,88.95161
1758985200,0.615,0.385,0.0
1758988800,0.615,0.385,4.453125
1758992400,0.615,0.385,0.0
1758996000,0.62,0.38,0.0
1758999600,0.62,0.38,0.0
1759003200,0.61,0.39,0.0
1759006800,0.615,0.385,0.0
1759010400,0.615,0.385,0.0
1759014000,0.615,0.385,0.0
1759017600,0.62,0.38,0.0
1759021200,0.615,0.385,0.0
1759024800,0.62,0.38,1144.921015
1759028400,0.495,0.505,0.0
1759032000,0.485,0.515,0.0
1759035600,0.46,0.54,0.0
1759039200,0.445,0.555,0.0
1759042800,0.465,0.535,86.0
1759046400,0.49,0.51,0.0
1759050000,0.505,0.495,0.0
1759053600,0.495,0.505,22.72
1759057200,0.485,0.515,0.0
1759060800,0.495,0.505,202.62
1759064400,0.575,0.425,0.0
1759068000,0.595,0.405,0.0
1759071600,0.595,0.405,1.44
1759075200,0.595,0.405,93.544103
1759078800,0.595,0.405,0.0
1759082400,0.595,0.405,114.65
1759086000,0.575,0.425,4.545453
