timestamp,price_yes,price_no,volume
1765224000,0.3,0.7,1614.396558
1765227600,0.26,0.74,2726.066185
1765231200,0.305,0.695,152.454723
1765234800,0.315,0.685,60.0
1765238400,0.32,0.68,24.83
1765242000,0.335,0.665,101.492536
1765245600,0.335,0.665,47.941175
1765249200,0.335,0.665,22.388056
1765252800,0.335,0.665,186.441175
1765256400,0.335,0.665,5.0
1765260000,0.335,0.665,376.737706
1765263600,0.335,0.665,294.28
1765267200,0.335,0.665,30.0
1765270800,0.335,0.665,100.0
1765274400,0.335,0.665,54.433711
1765278000,0.335,0.665,2060.7200000000003
1765281600,0.315,0.685,279.509875
1765285200,0.31,0.69,1.408449
1765288800,0.3,0.7,307.69861
1765292400,0.295,0.705,1092.54
1765296000,0.31,0.69,26.25
1765299600,0.31,0.69,156.25
1765303200,0.31,0.69,92.5
1765306800,0.315,0.685,110.93217
1765310400,0.315,0.685,0.0
1765314000,0.315,0.685,1505.265551
1765317600,0.29,0.71,10.0
1765321200,0.285,0.715,0.0
1765324800,0.285,0.715,144.544163
1765328400,0.28,0.72,0.0
1765332000,0.28,0.72,0.0
1765335600,0.28,0.72,0.0
1765339200,0.28,0.72,138.91
1765342800,0.28,0.72,100.0
1765346400,0.28,0.72,0.0
1765350000,0.28,0.72,10.0
1765353600,0.28,0.72,0.0
1765357200,0.28,0.72,415.999592
1765360800,0.275,0.725,16.733102
1765364400,0.275,0.725,22.179652
1765368000,0.275,0.725,0.0
1765371600,0.275,0.725,0.0
1765375200,0.275,0.725,0.0
1765378800,0.28,0.72,1.369862
1765382400,0.28,0.72,0.0
1765386000,0.28,0.72,653.196888
1765389600,0.275,0.725,0.0
1765393200,0.275,0.725,415.99
1765396800,0.295,0.705,0.0
1765400400,0.3,0.7,0.0
1765404000,0.29,0.71,0.0
1765407600,0.29,0.71,0.0
1765411200,0.29,0.71,100.0
1765414800,0.275,0.725,86.491427
1765418400,0.27,0.73,0.0
1765422000,0.27,0.73,0.0
1765425600,0.27,0.73,0.0
1765429200,0.27,0.73,17.857141
1765432800,0.27,0.73,0.0
1765436400,0.27,0.73,44.174861
1765440000,0.27,0.73,0.0
1765443600,0.27,0.73,339.24
1765447200,0.29,0.71,200.0
1765450800,0.3,0.7,0.0
1765454400,0.305,0.695,100.746475
1765458000,0.305,0.695,0.0
1765461600,0.305,0.695,0.0
1765465200,0.305,0.695,0.0
1765468800,0.305,0.695,0.0
1765472400,0.305,0.695,0.0
1765476000,0.305,0.695,31.0
1765479600,0.295,0.705,198.120247
1765483200,0.295,0.705,208.462289
1765486800,0.3,0.7,111.03
1765490400,0.31,0.69,0.0
1765494000,0.31,0.69,34.821427
1765497600,0.31,0.69,0.0
1765501200,0.31,0.69,0.0
1765504800,0.31,0.69,0.0
1765508400,0.31,0.69,0.0
1765512000,0.31,0.69,0.0
1765515600,0.305,0.695,0.0
1765519200,0.305,0.695,10.0
1765522800,0.305,0.695,0.0
1765526400,0.305,0.695,0.0
1765530000,0.305,0.695,0.0
1765533600,0.305,0.695,3.0
1765537200,0.305,0.695,3.225805
1765540800,0.305,0.695,0.0
1765544400,0.305,0.695,71.42857
1765548000,0.305,0.695,0.0
1765551600,0.305,0.695,22.5
1765555200,0.305,0.695,0.0
1765558800,0.305,0.695,151.50459999999998
1765562400,0.3,0.7,0.0
1765566000,0.3,0.7,0.0
1765569600,0.3,0.7,0.0
1765573200,0.3,0.7,0.0
1765576800,0.3,0.7,0.0
1765580400,0.3,0.7,0.0
1765584000,0.3,0.7,314.324375
1765587600,0.31,0.69,155.94
1765591200,0.295,0.705,7.13
1765594800,0.295,0.705,105.0
1765598400,0.295,0.705,0.0
1765602000,0.295,0.705,0.0
1765605600,0.295,0.705,0.0
1765609200,0.295,0.705,0.0
1765612800,0.295,0.705,26.666665
1765616400,0.295,0.705,0.0
1765620000,0.295,0.705,0.0
1765623600,0.295,0.705,0.0
1765627200,0.295,0.705,21.95
1765630800,0.3,0.7,82.0
1765634400,0.305,0.695,10.0
1765638000,0.285,0.715,3.448274
1765641600,0.285,0.715,0.0
1765645200,0.285,0.715,0.0
1765648800,0.285,0.715,0.0
1765652400,0.285,0.715,0.0
1765656000,0.285,0.715,349.66
1765659600,0.295,0.705,100.0
1765663200,0.295,0.705,18.0
1765666800,0.295,0.705,19.718306
1765670400,0.295,0.705,0.0
1765674000,0.295,0.705,0.0
1765677600,0.295,0.705,0.0
1765681200,0.295,0.705,10.0
1765684800,0.295,0.705,0.0
1765688400,0.295,0.705,0.0
1765692000,0.295,0.705,0.0
1765695600,0.295,0.705,0.0
1765699200,0.295,0.705,59.79
1765702800,0.295,0.705,0.0
1765706400,0.295,0.705,3.333332
1765710000,0.295,0.705,0.0
1765713600,0.295,0.705,0.0
1765717200,0.295,0.705,657.57
1765720800,0.295,0.705,0.0
1765724400,0.295,0.705,0.0
1765728000,0.29,0.71,0.0
1765731600,0.295,0.705,13.225805
1765735200,0.29,0.71,0.0
1765738800,0.29,0.71,0.0
1765742400,0.29,0.71,0.0
1765746000,0.295,0.705,0.0
1765749600,0.29,0.71,4.166664
1765753200,0.295,0.705,41.666664
1765756800,0.295,0.705,0.0
1765760400,0.295,0.705,0.0
1765764000,0.3,0.7,0.0
1765767600,0.3,0.7,14.084506
1765771200,0.3,0.7,138.888885
1765774800,0.295,0.705,0.0
1765778400,0.3,0.7,0.0
1765782000,0.295,0.705,0.0
1765785600,0.295,0.705,0.0
1765789200,0.3,0.7,0.0
1765792800,0.295,0.705,289.14374999999995
1765796400,0.305,0.695,0.0
1765800000,0.305,0.695,0.0
1765803600,0.305,0.695,0.0
1765807200,0.305,0.695,0.0
1765810800,0.305,0.695,0.0
1765814400,0.3,0.7,289.12
1765818000,0.3,0.7,2571.98
1765821600,0.365,0.635,191.578946
1765825200,0.365,0.635,96.66
1765828800,0.365,0.635,336.04999999999995
1765832400,0.355,0.645,10.0
1765836000,0.355,0.645,395.0
1765839600,0.365,0.635,12.234101
1765843200,0.38,0.62,7.692306
1765846800,0.38,0.62,25.641024
1765850400,0.38,0.62,98.0
1765854000,0.38,0.62,54.394612
1765857600,0.385,0.615,72.48473899999999
1765861200,0.39,0.61,99.825
1765864800,0.39,0.61,418.828386
1765868400,0.39,0.61,1119.1100689999998
1765872000,0.385,0.615,2257.417274
1765875600,0.3,0.7,496.07352
1765879200,0.295,0.705,2931.114091
1765882800,0.245,0.755,1011.243317
1765886400,0.23,0.77,2209.96115
1765890000,0.205,0.795,2024.561455
1765893600,0.215,0.785,125.925924
1765897200,0.215,0.785,242.28382200000004
1765900800,0.2,0.8,106.21
1765904400,0.195,0.805,1241.015286
1765908000,0.165,0.835,22.59
1765911600,0.165,0.835,477.04577599999993
1765915200,0.15,0.85,387.76251
1765918800,0.135,0.865,415.523498
1765922400,0.13,0.87,1549.552464
1765926000,0.125,0.875,1.74
1765929600,0.115,0.885,0.0
1765933200,0.115,0.885,72.40818
1765936800,0.125,0.875,406.59
1765940400,0.125,0.875,150.426152
1765944000,0.125,0.875,646.441909
1765947600,0.115,0.885,493.120898
1765951200,0.12,0.88,314.666665
1765954800,0.115,0.885,2131.56818
1765958400,0.135,0.865,1165.92
1765962000,0.135,0.865,651.8668359999999
1765965600,0.135,0.865,3643.037475
1765969200,0.2,0.8,2253.669208
1765972800,0.165,0.835,358.31038800000005
1765976400,0.175,0.825,0.0
1765980000,0.155,0.845,45.12790199999999
1765983600,0.16,0.84,0.0
1765987200,0.155,0.845,13.022351
