market,y_true,sep_proxy,vol_dx,liq_proxy,n_obs,v_sum,v_mean,v_median,trades_per_hour,p_raw,p_smoothed,p_posterior,log_score_raw,log_score_smoothed,log_score_posterior,p_logreg,log_score_logreg
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,0,8.944831767751625,0.19993554505277722,0.0,4890.0,204911.344851,41.904160501227,0.0,1000227272.7272726,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.1467828372949699,0.15874117689922587
culture-gta-vi-released-in-2025,0,32.98748100020911,0.12652562896272254,0.0,8733.0,49511462.28736001,5669.467798850339,0.0,1000120884.3645618,0.003,0.0029335796137218983,0.003,0.0030045090202987243,0.002937890992309637,0.0030045090202987243,0.0009766523991505478,0.0009771296348591873
culture-jd-vance-baby-boy-or-girl,1,11.832751870847012,0.0411659195183152,0.0,142.0,20874.927726,147.00653328169014,0.0,142000000.0,0.992,0.9919999999999973,0.992,0.008032171697264267,0.008032171697266952,0.008032171697264267,0.5061410844847382,0.6809398254662381
culture-major-meteor-strike-10kt-in-2025,0,17.174014428720398,0.12994562287571473,0.0,5858.0,124851.748439,21.31303319204507,0.0,1000180222.9072801,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.007245427876097481,0.0072718034675034356
culture-trump-confirmed-to-be-satoshi-by-december-31,0,15.25194481337961,0.26740929380396034,0.0,2211.0,192900.28835699998,87.24572064993215,0.0,1000452488.6877828,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.19180561899778864,0.21295267884620434
culture-trump-divorce-in-2025,0,33.15411697660041,0.08663487966942825,0.0,9411.0,124296.73363899998,13.20760106673042,0.0,1000106269.9256109,0.004,0.0040000000000000036,0.004,0.004008021397538822,0.004008021397538822,0.004008021397538822,0.03261764765458397,0.03316146111501701
culture-will-an-fbi-top-ten-most-wanted-fugitive-be-captured-by-june-2026,1,8.254124797517715,0.10544596859446193,0.0,1941.0,141681.06067600002,72.99384887995879,0.0,1000515463.9175258,0.84,0.8318422493698291,0.84,0.1743533871447778,0.1841124602608641,0.1743533871447778,0.8591554476165698,0.15180540990463748
culture-will-cz-return-to-binance-by-december-31,0,25.496997458527034,0.13403472246754755,0.0,3146.0,294162.834099,93.50376163350288,0.0,1000317965.0238473,0.001,0.0010000000000000009,0.001,0.0010005003335835344,0.0010005003335835344,0.0010005003335835344,0.0703721576098645,0.07297094239697842
culture-will-trump-and-machado-share-the-nobel-peace-prize,1,22.333254258592245,0.202484993349476,0.0,504.0,28307380.328721378,56165.43716016146,0.0,504000000.0,0.992,0.9920000000000001,0.992,0.008032171697264267,0.008032171697264154,0.008032171697264267,0.47140486269410636,0.7520379731024522
culture-will-trump-remove-his-rob-reiner-post,0,32.915016503221416,0.26023291521584613,0.0,1031.0,265077.381811,257.10706286226963,0.0,1000970873.7864078,1e-06,1e-06,1e-06,1.000000500029089e-06,1.000000500029089e-06,1.000000500029089e-06,0.40172205110335396,0.5136998355303671
