market,regime,n_obs,total_volume,IG_final,IG_max,n_bursts
culture-major-meteor-strike-10kt-in-2025,activity_bin_1,5858,124851.748439,0.6931323650498874,0.6931323650498874,287
culture-trump-divorce-in-2025,activity_bin_1,9411,124296.73363899998,0.6931323650498874,0.6931323650498874,270
geopolitics-foreign-intervention-in-gaza-in-2025,activity_bin_1,2518,119620.32772799999,0.6931323650498874,0.6931323650498874,194
geopolitics-russia-strike-on-kyiv-municipality-by-december-31-684,activity_bin_1,768,137591.518898,0.6931323650498874,0.6931323650498874,76
geopolitics-will-iran-withdraw-from-the-npt-in-2025,activity_bin_1,4512,108982.876478,0.6931323650498874,0.6931323650498874,416
geopolitics-will-japanese-pm-apologize-for-china-comments-in-2025,activity_bin_1,1652,106655.523566,0.6931323650498874,0.6931323650498874,166
geopolitics-will-netanyahu-be-pardoned-in-2025,activity_bin_1,1850,127475.49204999999,0.6931323650498874,0.6931323650498874,183
geopolitics-will-the-us-invade-afghanistan-in-2025,activity_bin_1,5349,158825.61934000003,0.6931323650498874,0.6931323650498874,407
geopolitics-will-trump-pardon-maduro-by-december-31,activity_bin_1,1965,126261.89199,0.6931323650498874,0.6931323650498874,167
tech-us-enacts-ai-safety-bill-in-2025,activity_bin_1,9050,128939.35741099999,0.6931323650498874,0.6931323650498874,742
tech-x-relaunches-vine-in-2025,activity_bin_1,4757,150190.69140100002,0.6931323650498874,0.6931323650498874,476
tech-nothing-ever-happens-ai-edition,activity_bin_1,3118,168924.04156,0.693132365049887,0.693132365049887,310
world-north-korea-missile-launch-by-january-31-661,activity_bin_1,528,117218.79208300001,0.693132365049887,0.693132365049887,38
world-german-government-files-appeal-to-ban-afd-in-2025,activity_bin_1,6480,139396.422402,0.6787199656977692,0.6787199656977692,208
culture-will-an-fbi-top-ten-most-wanted-fugitive-be-captured-by-june-2026,activity_bin_1,1941,141681.06067600002,0.6616681146127785,0.6670693475765477,145
culture-jd-vance-baby-boy-or-girl,activity_bin_1,142,20874.927726,0.6465527563378407,0.6465527563378407,1
tech-will-apple-release-airtag-2-by-june-30,activity_bin_1,1102,108288.251337,0.5951080672802133,0.637145646205098,42
culture-epstein-or-maxwell-confirmed-mossad-opperatives-in-2025,activity_bin_2,4890,204911.344851,0.6931323650498874,0.6931323650498874,458
culture-trump-confirmed-to-be-satoshi-by-december-31,activity_bin_2,2211,192900.28835699998,0.6931323650498874,0.6931323650498874,62
culture-will-trump-remove-his-rob-reiner-post,activity_bin_2,1031,265077.381811,0.6931323650498874,0.6931323650498874,61
geopolitics-china-x-japan-sever-diplomatic-relations-in-2025,activity_bin_2,1675,178177.792941,0.6931323650498874,0.6931323650498874,108
geopolitics-maduro-in-us-custody-by-december-31,activity_bin_2,1721,378652.124244,0.6931323650498874,0.6931323650498874,171
politics-israel-strike-on-the-west-bank-by-december-31-586,activity_bin_2,1487,299689.20630399993,0.6931323650498874,0.6931323650498874,149
